document,line,disposition,findings,review_note,source_text
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,1,structural,,Scope and phase labels reviewed; draft status is explicit.,# Plan 5: Delivery recovery and release qualification
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,2,structural,,Scope and phase labels reviewed; draft status is explicit.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,3,reviewed_no_finding,,Scope and phase labels reviewed; draft status is explicit.,"Status: draft for owner review. Planning only; this document does not authorize deployment, credential use, or test email delivery. Baseline: `6e78bc5` on `main`, after Plan 4. Implementation should run inline unless the owner changes that preference."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,4,structural,,Scope and phase labels reviewed; draft status is explicit.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,5,structural,,Scope and phase labels reviewed; draft status is explicit.,## Outcome
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,6,structural,,Scope and phase labels reviewed; draft status is explicit.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,7,reviewed_no_finding,,Scope and phase labels reviewed; draft status is explicit.,Resolve an ambiguous Gmail send only when the server obtains positive evidence for that exact operation. Exercise crash boundaries and measure the deployed application with scratch data before changing the README from pre-release. Preserve `delivery_unknown` when evidence is missing or conflicting.
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,8,structural,,Scope and phase labels reviewed; draft status is explicit.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,9,reviewed_no_finding,,Scope and phase labels reviewed; draft status is explicit.,"Plan 5 has two implementation phases and one qualification phase. Phase A delivers transport hardening, durable recovery metadata, read-only reconciliation and atomic settlement. Phase B adds same-session byte continuation only after the safety conditions below can be demonstrated. Phase C qualifies the Worker and native companion together. A completed Phase A does not mean all of Plan 5 is complete."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,10,structural,,Existing-code statements checked; test counts are historical.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,11,structural,,Existing-code statements checked; test counts are historical.,## Existing behavior and obligations
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,12,structural,,Existing-code statements checked; test counts are historical.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,13,reviewed_no_finding,,Existing-code statements checked; test counts are historical.,"- `worker/src/operations/send.ts` chooses media/multipart at 5 MiB or below, otherwise a resumable upload. The encoded MIME limit is 36,700,160 bytes. Plan 4's attachment limit is 26,214,400 bytes; these limits describe different objects."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,14,reviewed_no_finding,,Existing-code statements checked; test counts are historical.,- `worker/src/google/gmail.ts` keeps the session URL in memory and passes it to authenticated fetch without a session-specific target validator or redirect refusal. Plan 5 must close this boundary before persisting or probing URLs.
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,15,reviewed_no_finding,,Existing-code statements checked; test counts are historical.,- `worker/src/operations/journal.ts` stores Message-ID but not a complete recovery context. `sendDraft` receives the original Message-ID; it does not persist the draft/thread identity needed for candidate filtering.
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,16,reviewed_no_finding,,Existing-code statements checked; test counts are historical.,- `worker/src/cron.ts` promotes stale executing operations after two minutes and runs every five minutes. It does not search Gmail. Upload staging has its own recovery and must remain separate.
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,17,reviewed_no_finding,,Existing-code statements checked; test counts are historical.,"- `worker/src/tools/settle.ts` settles direct successes from `executing`. Recovery also needs a guarded path from `delivery_unknown`, including a pending row already redacted as failed/unknown. Replaying settlement must not duplicate outcome audits."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,18,reviewed_no_finding,,Existing-code statements checked; test counts are historical.,"- The main spec sections 3.5 and 4.7 defer Message-ID preservation, resumable recovery, fault injection, resource measurements and installed-client behavior to this plan. Plan 4 also leaves real Keychain and power-loss qualification open."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,19,structural,,Existing-code statements checked; test counts are historical.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,20,reviewed_no_finding,,Existing-code statements checked; test counts are historical.,"The previous local validation recorded 11 shared, 274 Worker, 9 companion and 13 Swift tests. Those results establish the baseline only; the executor must rerun the gates on the changed revision."
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,21,structural,,Tradeoffs stated without market novelty claims.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,22,structural,,Tradeoffs stated without market novelty claims.,## Approaches considered
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,23,structural,,Tradeoffs stated without market novelty claims.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,24,reviewed_no_finding,,Tradeoffs stated without market novelty claims.,| Approach                                                       | Benefit                                                                                             | Cost / limit                                                                            |
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,25,structural,,Tradeoffs stated without market novelty claims.,| -------------------------------------------------------------- | --------------------------------------------------------------------------------------------------- | --------------------------------------------------------------------------------------- |
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,26,reviewed_no_finding,,Tradeoffs stated without market novelty claims.,"| Evidence-first recovery, then gated continuation (recommended) | Resolves known delivery without creating another send; isolates the difficult byte-resumption proof | Some failures remain unknown; Phase B needs durable MIME and new capacity accounting    |"
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,27,reviewed_no_finding,,Tradeoffs stated without market novelty claims.,"| Build autonomous byte recovery first                           | Could improve recovery from partial large uploads                                                   | Expands authority, stored content and concurrency before delivery evidence is qualified |"
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,28,reviewed_no_finding,,Tradeoffs stated without market novelty claims.,"| Qualification only, keep all ambiguous operations manual       | Smallest production change                                                                          | Leaves the explicit recovery obligations from Plan 3 unfinished                         |"
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,29,structural,,Tradeoffs stated without market novelty claims.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,30,structural,,Worker authority boundary retained; operation status wording needs no new tool.,## A. Recovery authority and evidence
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,31,structural,,Worker authority boundary retained; operation status wording needs no new tool.,
specs/2026-09-13-gmail-mcp-plan-5-recovery-design.md,32,reviewed_no_finding,,Worker authority boundary retained; operation status wording needs no new tool.,Only the Worker schedules reconciliation. It uses the operation's stored owner and account; caller-supplied account aliases cannot redirect a lookup. No new model-facing recovery or resend tool is required. Existing operation status/idempotency responses expose ids and state only.
